Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	754192	17044335	16290144	0.8562	Unbalanced	S-tag133716	S-tag303915	1345	1	1345
chr1	1	17236017	60885700	43649684	0.8971	Unbalanced	S-tag302043	S-tag111246	5125	1346	3780
chr1	1	60901523	72773429	11871907	0.84	Unbalanced	S-tag071804	S-tag237121	5993	5126	868
chr1	1	72798594	115420518	42621925	0.9037	Unbalanced	S-tag138517	S-tag230757	9274	5994	3281
chr1	1	115437986	145747463	30309478	0.5	Hetero	S-tag025424	S-tag304117	9809	9275	535
chr1	1	146501028	162524880	16023853	0.6387	Unbalanced	S-tag257215	S-tag119525	11153	9810	1344
chr1	1	162537392	164503196	1965805	0.6306	Unbalanced	S-tag308207	S-tag176368	11293	11154	140
chr1	1	164518787	168494042	3975256	0.6309	Unbalanced	S-tag285186	S-tag052989	11616	11294	323
chr1	1	168500458	186615995	18115538	0.6342	Unbalanced	S-tag246212	S-tag020295	13032	11617	1416
chr1	1	186616202	190622633	4006432	0.6256	Unbalanced	S-tag001009	S-tag313367	13339	13033	307
chr1	1	190637116	193867739	3230624	0.64	Unbalanced	S-tag300815	S-tag298306	13583	13340	244
chr1	1	193882648	199858391	5975744	0.625	Unbalanced	S-tag319233	S-tag126257	13994	13584	411
chr1	1	199875862	215139180	15263319	0.6323	Unbalanced	S-tag134857	S-tag028974	15122	13995	1128
chr1	1	215154120	220689864	5535745	0.6315	Unbalanced	S-tag299134	S-tag120798	15563	15123	441
chr1	1	220713097	226167320	5454224	0.6421	Unbalanced	S-tag300596	S-tag144674	15940	15564	377
chr1	1	226184438	244286906	18102469	0.6308	Unbalanced	S-tag283985	S-tag167899	17447	15941	1507
chr1	1	244288473	244787815	499343	0.6555	Unbalanced	S-tag201858	S-tag215301	17490	17448	43
chr1	1	244797942	249212878	4414937	0.6336	Unbalanced	S-tag280824	S-tag279722	17813	17491	323
chr2	2	21494	2522406	2500913	0.5837	Unbalanced	S-tag008358	S-tag186211	17981	17814	168
chr2	2	2540292	6502702	3962411	0.5998	Unbalanced	S-tag105607	S-tag114445	18269	17982	288
chr2	2	6523796	19447101	12923306	0.5832	Unbalanced	S-tag155282	S-tag089993	19285	18270	1016
chr2	2	19462138	23192293	3730156	0.6008	Unbalanced	S-tag083991	S-tag130378	19538	19286	253
chr2	2	23220489	33031358	9810870	0.5816	Unbalanced	S-tag190166	S-tag297220	20454	19539	916
chr2	2	33039552	47399064	14359513	0.593	Unbalanced	S-tag304586	S-tag321757	21559	20455	1105
chr2	2	47414001	52084858	4670858	0.5816	Unbalanced	S-tag025614	S-tag146918	21935	21560	376
chr2	2	52100297	54170035	2069739	0.6087	Unbalanced	S-tag059538	S-tag158592	22075	21936	140
chr2	2	54192157	56228351	2036195	0.5713	Unbalanced	S-tag325082	S-tag306076	22212	22076	137
chr2	2	56245554	58062489	1816936	0.58	Unbalanced	S-tag308441	S-tag162809	22334	22213	122
chr2	2	58070482	61079570	3009089	0.5974	Unbalanced	S-tag317839	S-tag318573	22540	22335	206
chr2	2	61080055	62245239	1165185	0.5619	Unbalanced	S-tag149002	S-tag113063	22738	22541	198
chr2	2	62262521	125703972	63441452	0.5866	Unbalanced	S-tag091015	S-tag169558	26812	22739	4074
chr2	2	125721165	127324998	1603834	0.6087	Unbalanced	S-tag195166	S-tag135252	26920	26813	108
chr2	2	127340075	135205735	7865661	0.5886	Unbalanced	S-tag180057	S-tag296733	27371	26921	451
chr2	2	135239297	168616962	33377666	0.5841	Unbalanced	S-tag311247	S-tag159042	30353	27372	2982
chr2	2	168635552	171436481	2800930	0.5969	Unbalanced	S-tag048336	S-tag007325	30598	30354	245
chr2	2	171442782	176196782	4754001	0.58	Unbalanced	S-tag264076	S-tag235449	30972	30599	374
chr2	2	176212390	183797662	7585273	0.5935	Unbalanced	S-tag132600	S-tag110118	31508	30973	536
chr2	2	183803954	207459077	23655124	0.5842	Unbalanced	S-tag029145	S-tag078886	33128	31509	1620
chr2	2	207480608	208419555	938948	0.5	Hetero	S-tag039510	S-tag198514	33197	33129	69
chr2	2	208438560	221651280	13212721	0.5875	Unbalanced	S-tag004886	S-tag063876	34398	33198	1201
chr2	2	221665476	224267984	2602509	0.5729	Unbalanced	S-tag270246	S-tag201913	34595	34399	197
chr2	2	224294501	235139498	10844998	0.594	Unbalanced	S-tag251837	S-tag191064	35356	34596	761
chr2	2	235163870	242285545	7121676	0.5862	Unbalanced	S-tag091208	S-tag057747	35835	35357	479
chr2	2	242315636	243052331	736696	0.602	Unbalanced	S-tag049296	S-tag082861	35915	35836	80
chr3	3	63411	50184538	50121128	0.8967	Unbalanced	S-tag123447	S-tag164167	39810	35916	3895
chr3	3	50212958	57256121	7043164	0.7989	Unbalanced	S-tag312840	S-tag066939	40425	39811	615
chr3	3	57274530	90473621	33199092	0.861	Unbalanced	S-tag271322	S-tag156417	43327	40426	2902
chr3	3	93517443	161253314	67735872	0.5	Hetero	S-tag159571	S-tag142517	48248	43328	4921
