Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	754192	3189519	2435328	0.7918	Unbalanced	S-tag133716	S-tag305529	209	1	209
chr1	1	3197747	17940818	14743072	0.8826	Unbalanced	S-tag269853	S-tag069733	1498	210	1289
chr1	1	17943070	27969373	10026304	0.8282	Unbalanced	S-tag118093	S-tag056468	2358	1499	860
chr1	1	27971502	57340727	29369226	0.8761	Unbalanced	S-tag240163	S-tag280840	4773	2359	2415
chr1	1	57360450	71858457	14498008	0.8108	Unbalanced	S-tag228588	S-tag022759	5930	4774	1157
chr1	1	71876652	115420518	43543867	0.8732	Unbalanced	S-tag089390	S-tag230757	9274	5931	3344
chr1	1	115437986	145226808	29788823	0.5	Hetero	S-tag025424	S-tag299157	9772	9275	498
chr1	1	145258178	150622754	5364577	0.6143	Unbalanced	S-tag233228	S-tag126379	10052	9773	280
chr1	1	150634143	162562775	11928633	0.6348	Unbalanced	S-tag013331	S-tag067667	11156	10053	1104
chr1	1	162579558	162726281	146724	0.6227	Unbalanced	S-tag213997	S-tag000392	11171	11157	15
chr1	1	162794799	185834397	23039599	0.6281	Unbalanced	S-tag046170	S-tag106787	12959	11172	1788
chr1	1	185855289	193932788	8077500	0.6358	Unbalanced	S-tag022447	S-tag055533	13589	12960	630
chr1	1	193942375	201125326	7182952	0.6197	Unbalanced	S-tag073151	S-tag006632	14081	13590	492
chr1	1	201148020	215165487	14017468	0.6312	Unbalanced	S-tag253419	S-tag153343	15124	14082	1043
chr1	1	215178824	220645712	5466889	0.6279	Unbalanced	S-tag101327	S-tag137634	15559	15125	435
chr1	1	220665200	225975271	5310072	0.6316	Unbalanced	S-tag072062	S-tag193727	15927	15560	368
chr1	1	226013355	234158514	8145160	0.6225	Unbalanced	S-tag299278	S-tag050207	16622	15928	695
chr1	1	234166056	235849939	1683884	0.6437	Unbalanced	S-tag150133	S-tag255598	16732	16623	110
chr1	1	235872665	243725004	7852340	0.6286	Unbalanced	S-tag296653	S-tag202191	17308	16733	576
chr1	1	243728938	247236374	3507437	0.6398	Unbalanced	S-tag203729	S-tag012084	17658	17309	350
chr1	1	247251709	248687699	1435991	0.6268	Unbalanced	S-tag054723	S-tag158539	17791	17659	133
chr1	1	248687952	249212878	524927	0.6333	Unbalanced	S-tag251418	S-tag279722	17813	17792	22
chr2	2	21494	48233949	48212456	0.632	Unbalanced	S-tag008358	S-tag088843	21681	17814	3868
chr2	2	48251678	56300279	8048602	0.6264	Unbalanced	S-tag101186	S-tag185439	22217	21682	536
chr2	2	56316188	58062489	1746302	0.65	Unbalanced	S-tag301739	S-tag162809	22334	22218	117
chr2	2	58070482	60872851	2802370	0.6364	Unbalanced	S-tag317839	S-tag145981	22526	22335	192
chr2	2	60898663	62277685	1379023	0.6146	Unbalanced	S-tag111675	S-tag107965	22740	22527	214
chr2	2	62290779	99226021	36935243	0.6315	Unbalanced	S-tag030280	S-tag034407	24947	22741	2207
chr2	2	99246687	100877370	1630684	0.6193	Unbalanced	S-tag073589	S-tag056588	25133	24948	186
chr2	2	100892018	102644461	1752444	0.6444	Unbalanced	S-tag197934	S-tag133719	25252	25134	119
chr2	2	102662651	128445877	25783227	0.6289	Unbalanced	S-tag011622	S-tag101238	27019	25253	1767
chr2	2	128462937	140936326	12473390	0.6317	Unbalanced	S-tag155947	S-tag026730	27755	27020	736
chr2	2	140953438	141580489	627052	0.6887	Unbalanced	S-tag203560	S-tag021500	28163	27756	408
chr2	2	141581993	150640254	9058262	0.6354	Unbalanced	S-tag006518	S-tag232672	29067	28164	904
chr2	2	150662647	158677499	8014853	0.6249	Unbalanced	S-tag153515	S-tag068634	29670	29068	603
chr2	2	158705667	169868814	11163148	0.6354	Unbalanced	S-tag131401	S-tag111606	30438	29671	768
chr2	2	169887154	176188012	6300859	0.6267	Unbalanced	S-tag106680	S-tag092623	30971	30439	533
chr2	2	176196782	183797662	7600881	0.6387	Unbalanced	S-tag235449	S-tag110118	31508	30972	537
chr2	2	183803954	241773265	57969312	0.6312	Unbalanced	S-tag029145	S-tag241359	35804	31509	4296
chr2	2	241803100	243052331	1249232	0.6545	Unbalanced	S-tag246028	S-tag082861	35915	35805	111
chr3	3	63411	37050325	36986915	0.8932	Unbalanced	S-tag123447	S-tag031100	38787	35916	2872
chr3	3	37053120	51436456	14383337	0.8697	Unbalanced	S-tag172482	S-tag150645	40003	38788	1216
chr3	3	51460010	53792890	2332881	0.7008	Unbalanced	S-tag047403	S-tag134644	40188	40004	185
chr3	3	53820070	60112608	6292539	0.8678	Unbalanced	S-tag273318	S-tag307508	40675	40189	487
chr3	3	60120243	68035475	7915233	0.779	Unbalanced	S-tag206688	S-tag052667	41305	40676	630
chr3	3	68054244	90473621	22419378	0.8621	Unbalanced	S-tag094507	S-tag156417	43327	41306	2022
chr3	3	93517443	197852564	104335122	0.5	Hetero	S-tag159571	S-tag251937	51111	43328	7784
chr4	4	69404	84189869	84120466	0.8979	Unbalanced	S-tag272826	S-tag320366	56807	51112	5696
chr4	4	84204846	190915650	106710805	0.8618	Unbalanced	S-tag174499	S-tag011735	64556	56808	7749
chr5	5	38139	7672535	7634397	0.63	Unbalanced	S-tag083571	S-tag182907	65105	64557	549
chr5	5	7686920	42283634	34596715	0.6268	Unbalanced	S-tag092252	S-tag016502	67516	65106	2411
chr5	5	42309746	44517211	2207466	0.6477	Unbalanced	S-tag233678	S-tag268143	67669	67517	153
