Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	754192	1992977	1238786	0.7397	Unbalanced	S-tag133716	S-tag044058	82	1	82
chr1	1	1999345	4043516	2044172	0.8619	Unbalanced	S-tag074190	S-tag008097	345	83	263
chr1	1	4076617	20982151	16905535	0.8886	Unbalanced	S-tag126877	S-tag324334	1772	346	1427
chr1	1	21018485	28160199	7141715	0.8181	Unbalanced	S-tag196863	S-tag145181	2382	1773	610
chr1	1	28234054	39319038	11084985	0.8983	Unbalanced	S-tag319399	S-tag035997	3271	2383	889
chr1	1	39322470	50822914	11500445	0.8586	Unbalanced	S-tag052276	S-tag148760	4290	3272	1019
chr1	1	50844697	63474330	12629634	0.8898	Unbalanced	S-tag187662	S-tag064914	5306	4291	1016
chr1	1	63481878	69495047	6013170	0.7977	Unbalanced	S-tag026549	S-tag224439	5767	5307	461
chr1	1	69520453	115444950	45924498	0.8787	Unbalanced	S-tag142045	S-tag305644	9276	5768	3509
chr1	1	115467553	145677085	30209533	0.5	Hetero	S-tag017941	S-tag131442	9807	9277	531
chr1	1	145744339	157509025	11764687	0.6232	Unbalanced	S-tag174861	S-tag092053	10739	9808	932
chr1	1	157513569	161591477	4077909	0.6313	Unbalanced	S-tag028409	S-tag150190	11057	10740	318
chr1	1	161596671	191623693	30027023	0.6207	Unbalanced	S-tag117609	S-tag301208	13408	11058	2351
chr1	1	191637193	194182229	2545037	0.6338	Unbalanced	S-tag299136	S-tag172955	13605	13409	197
chr1	1	194216821	201405395	7188575	0.6172	Unbalanced	S-tag113970	S-tag018867	14099	13606	494
chr1	1	201441035	214770677	13329643	0.6216	Unbalanced	S-tag038034	S-tag188690	15091	14100	992
chr1	1	214814125	220486053	5671929	0.6196	Unbalanced	S-tag125287	S-tag315534	15545	15092	454
chr1	1	220495572	225975271	5479700	0.6275	Unbalanced	S-tag158730	S-tag193727	15927	15546	382
chr1	1	226013355	227894232	1880878	0.6137	Unbalanced	S-tag299278	S-tag130261	16107	15928	180
chr1	1	227906562	233023763	5117202	0.6256	Unbalanced	S-tag248213	S-tag277905	16522	16108	415
chr1	1	233045461	234801409	1755949	0.6108	Unbalanced	S-tag220755	S-tag063205	16665	16523	143
chr1	1	234827677	249212878	14385202	0.623	Unbalanced	S-tag278965	S-tag279722	17813	16666	1148
chr2	2	21494	64553177	64531684	0.5	Hetero	S-tag008358	S-tag268290	22884	17814	5071
chr2	2	64559966	65823020	1263055	0.5398	Unbalanced	S-tag313485	S-tag192181	22983	22885	99
chr2	2	65838016	141359287	75521272	0.5	Hetero	S-tag041532	S-tag197472	28066	22984	5083
chr2	2	141361747	141830671	468925	0.6983	Unbalanced	S-tag069822	S-tag223607	28377	28067	311
chr2	2	141831594	148988832	7157239	0.5	Hetero	S-tag230845	S-tag060740	28967	28378	590
chr2	2	149041199	150445221	1404023	0.5414	Unbalanced	S-tag244416	S-tag274104	29054	28968	87
chr2	2	150459870	243052331	92592462	0.5	Hetero	S-tag188254	S-tag082861	35915	29055	6861
chr3	3	63411	51343722	51280312	0.8803	Unbalanced	S-tag123447	S-tag146289	39985	35916	4070
chr3	3	51351077	53374687	2023611	0.717	Unbalanced	S-tag265081	S-tag089838	40160	39986	175
chr3	3	53385418	67397285	14011868	0.8498	Unbalanced	S-tag293886	S-tag291289	41260	40161	1100
chr3	3	67402841	70261360	2858520	0.8308	Unbalanced	S-tag128943	S-tag178248	41804	41261	544
chr3	3	70276280	90473621	20197342	0.8895	Unbalanced	S-tag101771	S-tag156417	43327	41805	1523
chr3	3	93517443	145744672	52227230	0.5	Hetero	S-tag159571	S-tag024802	47162	43328	3835
chr3	3	145755969	146647304	891336	0.551	Unbalanced	S-tag142352	S-tag189973	47222	47163	60
chr3	3	146651909	197852564	51200656	0.5	Hetero	S-tag188138	S-tag251937	51111	47223	3889
chr4	4	69404	101415429	101346026	0.8832	Unbalanced	S-tag272826	S-tag098754	58057	51112	6946
chr4	4	101438175	104368124	2929950	0.7556	Unbalanced	S-tag313349	S-tag200302	58294	58058	237
chr4	4	104384658	190915650	86530993	0.881	Unbalanced	S-tag070188	S-tag011735	64556	58295	6262
chr5	5	38139	1794061	1755923	0.6301	Unbalanced	S-tag083571	S-tag189726	64713	64557	157
chr5	5	1814369	3110197	1295829	0.5391	Unbalanced	S-tag268724	S-tag082288	64802	64714	89
chr5	5	3126669	7652834	4526166	0.6268	Unbalanced	S-tag047947	S-tag250494	65103	64803	301
chr5	5	7659279	14599926	6940648	0.6272	Unbalanced	S-tag084747	S-tag076297	65568	65104	465
chr5	5	14618920	17264640	2645721	0.6139	Unbalanced	S-tag016747	S-tag247532	65744	65569	176
chr5	5	17283265	31111978	13828714	0.63	Unbalanced	S-tag140331	S-tag247318	66657	65745	913
chr5	5	31131409	42568392	11436984	0.6221	Unbalanced	S-tag170262	S-tag094596	67534	66658	877
chr5	5	42582527	50426446	7843920	0.6267	Unbalanced	S-tag151945	S-tag041606	67854	67535	320
chr5	5	50454933	61265883	10810951	0.845	Unbalanced	S-tag130623	S-tag277295	68627	67855	773
chr5	5	61269286	180698312	119429027	0.8759	Unbalanced	S-tag259892	S-tag320993	76910	68628	8283
chr6	6	204909	18054292	17849384	0.8788	Unbalanced	S-tag032787	S-tag073513	78197	76911	1287
chr6	6	18072657	25842605	7769949	0.8247	Unbalanced	S-tag076464	S-tag083378	78799	78198	602
chr6	6	25885181	170913051	145027871	0.8801	Unbalanced	S-tag275356	S-tag281247	89630	78800	10831
chr7	7	41421	10302022	10260602	0.5	Hetero	S-tag316675	S-tag250336	90460	89631	830
chr7	7	10326657	14376249	4049593	0.5644	Unbalanced	S-tag070736	S-tag060668	90753	90461	293
chr7	7	14429350	159118443	144689094	0.5	Hetero	S-tag307848	S-tag164900	101597	90754	10844
chr8	8	172417	64332998	64160582	0.5	Hetero	S-tag057861	S-tag082298	106756	101598	5159
chr8	8	64344303	65921697	1577395	0.5861	Unbalanced	S-tag222675	S-tag296470	106862	106757	106
chr8	8	65941449	107727764	41786316	0.5756	Unbalanced	S-tag139588	S-tag197782	109931	106863	3069
chr8	8	107730711	114461861	6731151	0.578	Unbalanced	S-tag194348	S-tag143220	110968	109932	1037
chr8	8	114480132	117074106	2593975	0.5745	Unbalanced	S-tag042646	S-tag285852	111181	110969	213
chr8	8	117095855	118874307	1778453	0.5871	Unbalanced	S-tag247472	S-tag187406	111352	111182	171
chr8	8	118879130	126812638	7933509	0.5692	Unbalanced	S-tag016259	S-tag210813	112007	111353	655
chr8	8	126830728	133020677	6189950	0.5836	Unbalanced	S-tag148832	S-tag143679	112594	112008	587
chr8	8	133037144	136068332	3031189	0.569	Unbalanced	S-tag018428	S-tag254554	112797	112595	203
chr8	8	136081378	137319350	1237973	0.5357	Unbalanced	S-tag164474	S-tag276499	112881	112798	84
chr8	8	137338588	139378225	2039638	0.5591	Unbalanced	S-tag144170	S-tag168577	113018	112882	137
