Target Symbol	Chr	Gene Start	Gene End	Gene Width	Gene Strand	Gene Cytoband	Match Start	Match End	Match Width	L2R Status	L2R Value	L2R Segment Width	BAF Status	BAF Value	BAF Segment Width
DVL1	chr1	1270657	1284492	13836	-	1p36.33	1270657	1284492	13836	Loss	-0.448596666339264	2984392	Unbalanced	0.8562	16290144
TNFRSF14	chr1	2487803	2497061	9259	+	1p36.32	2487803	2497061	9259	Loss	-0.448596666339264	2984392	Unbalanced	0.8562	16290144
TNFRSF9	chr1	7975930	8003225	27296	-	1p36.23	7975930	8003225	27296	Loss	-0.561922271355194	9092218	Unbalanced	0.8562	16290144
ERRFI1	chr1	8071778	8086393	14616	-	1p36.23	8071778	8086393	14616	Loss	-0.561922271355194	9092218	Unbalanced	0.8562	16290144
MTOR	chr1	11166587	11322608	156022	-	1p36.22	11166587	11322608	156022	Loss	-0.561922271355194	9092218	Unbalanced	0.8562	16290144
AGTRAP	chr1	11796141	11810828	14688	+	1p36.22	11796141	11810828	14688	Loss	-0.561922271355194	9092218	Unbalanced	0.8562	16290144
CASP9	chr1	15817895	15851285	33391	-	1p36.21	15817895	15851285	33391	Loss	-0.561922271355194	3862487	Unbalanced	0.8562	16290144
SPEN	chr1	16174358	16266950	92593	+	1p36.21	16174358	16266950	92593	Loss	-0.561922271355194	3862487	Unbalanced	0.8562	16290144
EPHA8	chr1	22889994	22930087	40094	+	1p36.12	22889994	22930087	40094	Loss	-0.588122271355194	43649684	Unbalanced	0.8971	43649684
EPHB2	chr1	23037330	23247993	210664	+	1p36.12	23037330	23247993	210664	Loss	-0.588122271355194	43649684	Unbalanced	0.8971	43649684
ARID1A	chr1	27022521	27108601	86081	+	1p36.11	27022521	27108601	86081	Loss	-0.588122271355194	43649684	Unbalanced	0.8971	43649684
FGR	chr1	27938800	27961727	22928	-	1p36.11	27938800	27961727	22928	Loss	-0.588122271355194	43649684	Unbalanced	0.8971	43649684
LCK	chr1	32716839	32751768	34930	+	1p35.1	32716839	32751768	34930	Loss	-0.588122271355194	43649684	Unbalanced	0.8971	43649684
